"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"STX16",6086.41780930278,-0.475958425507385,0.044497988838069,-10.6961783652611,1.06062817116964e-26,3.92896448157652e-24
"TP53INP1",834.832869488978,-0.909061582997092,0.0851867732269456,-10.6713935574865,1.38532920918875e-26,5.02704870787453e-24
"CA2",4023.48602310348,0.735314903267779,0.0691941466276563,10.6268367933579,2.23567070311202e-26,7.80284632464132e-24
"IL32",166.333038984633,2.05599938857882,0.193504150706502,10.6250919221742,2.27787646411417e-26,7.80284632464132e-24
"PMS2P3",307.621884161091,-1.218432775277,0.114676819387661,-10.6249264828155,2.28191895214751e-26,7.80284632464132e-24
"NEMP1",4884.52466351067,-0.549025133610134,0.0517321425683139,-10.6128435118482,2.59722339176031e-26,8.71343945828115e-24
"SCD",23367.9631949783,0.490467526317073,0.0467929029393399,10.4816648574441,1.04880946293829e-25,3.45349649268624e-23
"CTPS1",5402.46911199261,0.597635619325888,0.0574103369810601,10.409895686957,2.23466381622634e-25,7.22446496660374e-23
"PRDX4",4230.91839827263,0.539264199996939,0.0520569857541779,10.3591130409171,3.80473709344579e-25,1.20807196890285e-22
"WDR78",215.855862435487,-1.81677534545494,0.176487249929101,-10.2940883615376,7.49259135992248e-25,2.33729415738214e-22
"SEC61A2",630.299837617989,-0.796037588101163,0.0775283003350759,-10.2677033375,9.85221595248572e-25,3.02038365260601e-22
"bP-21264C1.1",170.534055821474,-1.76892398751183,0.172783080695787,-10.2378310445009,1.34211347285271e-24,4.04476604420236e-22
"NEFM",5805.46179845046,1.07889553229868,0.106315482619863,10.1480565738137,3.38027602225841e-24,1.00174479919628e-21
"GEM",418.198002772451,1.00930595603599,0.0996823924411219,10.1252180181384,4.27026008097889e-24,1.22466926612719e-21
"UBR2",2216.07338480373,-0.583783201904878,0.0576505405601074,-10.1262398623343,4.22588531203475e-24,1.22466926612719e-21
"AC240274.1",1873.28039592929,-0.563960272728455,0.0558024379957295,-10.1063733590209,5.17651268137974e-24,1.46100907916846e-21
"CROCCP2",999.563618984364,-0.648891116151522,0.064463868369624,-10.0659661382854,7.81165420442853e-24,2.13690805244529e-21
"KIF24",844.494902633578,-0.79259217931812,0.0787282505665715,-10.0674430539761,7.69526436908853e-24,2.13690805244529e-21
"TCN2",65.3918027073168,-2.75532294507173,0.274041295833703,-10.0544078099227,8.78479997220297e-24,2.36670497432941e-21
"RIOK3",2445.8863350547,-0.92985028252947,0.0926470100223878,-10.0364845266434,1.0536240829641e-23,2.79619251032607e-21
"AC093838.4",1510.24804509036,-0.671387061770626,0.0669854463326392,-10.0228795735214,1.20927358160046e-23,3.11624544267215e-21
